t_s,umax
59.67870717,2.55
59.82049483,2.55
59.96253882,2.55
60.10483949,2.55
60.24734223,2.55
60.39007512,2.55
60.53305007,2.55
60.67627262,2.55
60.81974575,2.55
60.96347133,2.55
61.1074507,2.55
61.25168491,2.55
61.39617486,2.55
61.54092132,2.55
61.68592499,2.55
61.83118649,2.55
61.97670641,2.55
62.1224853,2.55
62.26852369,2.55
62.41482205,2.55
62.56138086,2.55
62.70820058,2.55
62.85528164,2.55
63.00262448,2.55
63.15022951,2.55
63.29809713,2.55
63.44622776,2.55
63.59462177,2.55
63.74327957,2.55
63.89220153,2.55
64.04138803,2.55
64.19083945,2.55
64.34055616,2.55
64.49053853,2.55
64.64078693,2.55
64.79130171,2.55
64.94208324,2.55
65.09313189,2.55
65.24444801,2.55
65.39603196,2.55
65.5478841,2.55
65.70000478,2.55
65.85239435,2.55
66.00505318,2.55
66.15798162,2.55
66.31118001,2.55
66.46464872,2.55
66.61838809,2.55
66.77239848,2.55
66.92668023,2.55
67.08123371,2.55
67.23605925,2.55
67.39115722,2.55
67.54652796,2.55
67.70217182,2.55
67.85808916,2.55
68.01428032,2.55
68.17074566,2.55
68.32748552,2.55
68.48450027,2.55
68.64179024,2.55
68.7993558,2.55
68.95719728,2.55
69.11531505,2.55
69.27370946,2.55
69.43238085,2.55
69.59132958,2.55
69.750556,2.55
69.91006047,2.55
70.06984333,2.55
70.22990494,2.55
70.39024565,2.55
70.55086581,2.55
70.71176578,2.55
70.87294591,2.55
71.03440656,2.55
71.19614807,2.55
71.35817081,2.55
71.52047513,2.55
71.68306138,2.55
71.84592991,2.55
72.00908109,2.55
72.17251527,2.55
72.3362328,2.55
72.50023404,2.55
72.66451935,2.55
72.82908908,2.55
72.99394359,2.55
73.15908324,2.55
73.32450839,2.55
73.49021938,2.55
73.65621659,2.55
73.82250037,2.55
73.98907108,2.55
74.15592907,2.55
74.32307471,2.55
74.49050835,2.55
74.65823037,2.55
74.8262411,2.55
74.99454093,2.55
75.1631302,2.55
75.33200928,2.55
75.50117853,2.55
75.67063831,2.55
75.84038899,2.55
76.01043092,2.55
76.18076447,2.55
76.35139,2.55
76.52230788,2.55
76.69351847,2.55
76.86502212,2.55
77.03681922,2.55
77.20891012,2.55
77.38129518,2.55
77.55397478,2.55
77.72694927,2.55
77.90021902,2.55
78.07378441,2.55
78.24764579,2.55
78.42180353,2.55
78.596258,2.55
78.77100957,2.55
78.9460586,2.55
79.12140547,2.55
79.29705054,2.55
79.47299418,2.55
79.64923675,2.55
79.82577864,2.55
80.00262021,2.55
80.17976182,2.55
80.35720385,2.55
80.53494667,2.55
80.71299066,2.55
80.89133617,2.55
81.06998359,2.55
81.24893329,2.55
81.42818563,2.55
81.607741,2.55
81.78759976,2.55
81.96776228,2.55
82.14822895,2.55
82.32900014,2.55
82.51007621,2.55
82.69145755,2.55
82.87314453,2.55
83.05513752,2.55
83.23743691,2.55
83.42004306,2.55
83.60295636,2.55
83.78617717,2.55
83.96970589,2.55
84.15354288,2.55
84.33768852,2.55
84.52214319,2.55
84.70690727,2.55
84.89198114,2.55
85.07736518,2.55
85.26305976,2.55
85.44906528,2.55
85.63538209,2.55
85.8220106,2.55
86.00895117,2.55
86.1962042,2.55
86.38377005,2.55
86.57164912,2.55
86.75984178,2.55
86.94834842,2.55
87.13716942,2.55
87.32630517,2.55
87.51575604,2.55
87.70552243,2.55
87.89560471,2.55
88.08600327,2.55
88.2767185,2.55
88.46775078,2.55
88.6591005,2.55
88.85076804,2.55
89.04275378,2.55
89.23505813,2.55
89.42768146,2.55
89.62062416,2.55
89.81388662,2.55
90.00746922,2.55
90.20137236,2.55
90.39559642,2.55
90.5901418,2.55
90.78500888,2.55
90.98019806,2.55
91.17570971,2.55
91.37154425,2.55
91.56770204,2.55
91.7641835,2.55
91.960989,2.55
92.15811894,2.55
92.35557371,2.55
92.55335371,2.55
92.75145933,2.55
92.94989096,2.55
93.14864899,2.55
93.34773383,2.55
93.54714585,2.55
93.74688547,2.55
93.94695308,2.55
94.14734906,2.55
94.34807382,2.55
94.54912776,2.55
94.75051126,2.55
94.95222473,2.55
95.15426856,2.55
95.35664316,2.55
95.55934892,2.55
95.76238623,2.55
95.9657555,2.55
96.16945713,2.55
96.37349152,2.55
96.57785906,2.55
96.78256016,2.55
96.98759521,2.55
97.19296463,2.55
97.3986688,2.55
97.60470814,2.55
97.81108304,2.55
98.0177939,2.55
98.22484114,2.55
98.43222515,2.55
98.63994633,2.55
98.8480051,2.55
99.05640185,2.55
99.26513699,2.55
99.47421092,2.55
99.68362405,2.55
99.89337679,2.55
100.1034695,2.55
100.3139027,2.55
100.5246767,2.55
100.7357919,2.55
100.9472488,2.55
101.1590477,2.55
101.3711891,2.55
101.5836733,2.55
101.7965009,2.55
102.0096721,2.55
102.2231874,2.55
102.4370472,2.55
102.6512519,2.55
102.8658019,2.55
103.0806977,2.55
103.2959396,2.55
103.5115281,2.55
103.7274636,2.55
103.9437464,2.55
104.1603771,2.55
104.377356,2.55
104.5946835,2.55
104.81236,2.55
105.030386,2.55
105.2487619,2.55
105.4674881,2.55
105.6865649,2.55
105.9059929,2.55
106.1257724,2.55
106.3459039,2.55
106.5663878,2.55
106.7872244,2.55
107.0084143,2.55
107.2299578,2.55
107.4518553,2.55
107.6741073,2.55
107.8967142,2.55
108.1196764,2.55
108.3429943,2.55
108.5666683,2.55
108.790699,2.55
109.0150866,2.55
109.2398316,2.55
109.4649345,2.55
109.6903956,2.55
109.9162154,2.55
110.1423943,2.55
110.3689328,2.55
110.5958312,2.55
110.8230899,2.55
111.0507095,2.55
111.2786903,2.55
